field,count,mean_citations,median_citations,std_citations,min_citations,max_citations
astro-ph.CO,58,21.482758620689655,10.5,33.608813265252444,1,166
astro-ph.EP,24,21.166666666666668,14.0,24.403611041894145,1,89
astro-ph.GA,27,11.814814814814815,9.0,10.152820892725929,1,34
astro-ph.HE,26,12.884615384615385,5.0,19.9144709657614,1,96
astro-ph.IM,119,19.07563025210084,5.0,64.9987170230443,1,500
astro-ph.SR,30,15.566666666666666,9.5,20.835452765755367,1,93
cond-mat.dis-nn,52,34.44230769230769,10.0,73.3055420052794,1,486
cond-mat.mes-hall,49,14.16326530612245,6.0,22.925919591493955,1,127
cond-mat.mtrl-sci,232,27.392241379310345,9.0,64.42833214381123,1,500
cond-mat.other,3,174.0,18.0,282.41104794253357,4,500
cond-mat.quant-gas,9,11.777777777777779,5.0,17.11561989658699,1,55
cond-mat.soft,91,14.241758241758241,5.0,29.242792334879777,1,216
cond-mat.stat-mech,196,13.326530612244898,8.0,15.686202011406328,1,96
cond-mat.str-el,34,17.264705882352942,12.0,15.90560949939477,1,60
cond-mat.supr-con,6,7.333333333333333,8.5,4.802776974487434,1,12
cs.AI,1849,26.33585722011898,8.0,58.89515058360343,1,500
cs.AR,43,22.46511627906977,7.0,51.587350256955204,1,319
cs.CC,23,21.652173913043477,4.0,35.19763511639044,1,134
cs.CE,74,20.66216216216216,7.5,43.3612657864537,1,227
cs.CG,32,10.59375,4.5,15.216415955018086,1,64
cs.CL,6574,32.60161241253422,9.0,72.61603987661194,1,500
cs.CR,347,29.319884726224785,10.0,67.54380922148621,1,500
cs.CV,5920,44.894932432432434,12.0,89.38515048492596,1,500
cs.CY,355,23.96619718309859,8.0,43.83152112318609,1,423
cs.DB,66,19.272727272727273,7.0,61.653509589927204,1,500
cs.DC,148,17.054054054054053,8.0,24.605398385544255,1,146
cs.DL,34,9.264705882352942,5.5,10.166221024101013,1,46
cs.DM,22,11.318181818181818,3.5,23.63287936356861,1,112
cs.DS,166,21.234939759036145,9.5,30.077056326526968,1,179
cs.ET,84,24.44047619047619,10.0,38.05555583473973,1,200
cs.FL,8,7.125,2.5,9.963325606586244,1,30
cs.GL,2,2.0,2.0,0.0,2,2
cs.GR,78,33.34615384615385,8.0,84.853858619849,1,500
cs.GT,95,16.42105263157895,8.0,24.6354609262825,1,160
cs.HC,2103,21.143128863528293,9.0,41.89957818237697,1,500
cs.IR,324,23.962962962962962,9.0,56.914240943312436,1,500
cs.IT,212,32.174528301886795,9.0,82.79737564964478,1,500
cs.LG,6081,40.496628843940144,10.0,86.7858755077493,1,500
cs.LO,53,11.245283018867925,5.0,15.240262541118051,1,73
cs.MA,96,28.166666666666668,8.0,60.16795206869145,1,500
cs.MM,43,36.86046511627907,8.0,105.9273294011712,1,500
cs.MS,15,6.066666666666666,3.0,5.66274374015518,1,19
cs.NA,7,28.571428571428573,14.0,31.69572601501735,4,85
cs.NE,1943,31.132269686052496,9.0,70.42232102832759,1,500
cs.NI,97,30.7319587628866,9.0,63.673895008066545,1,370
cs.OH,10,5.7,4.0,5.271516754112509,1,15
cs.OS,2,15.0,15.0,11.313708498984761,7,23
cs.PF,7,5.142857142857143,5.0,3.532165125838609,1,11
cs.PL,28,22.642857142857142,7.0,44.961064872813616,1,237
cs.RO,2600,27.150384615384617,11.0,53.19658779025317,1,500
cs.SC,2,44.5,44.5,58.68986283848344,3,86
cs.SD,313,27.45367412140575,7.0,62.9013670888787,1,500
cs.SE,187,29.310160427807485,8.0,65.03473061782655,1,415
cs.SI,268,24.01865671641791,7.5,54.87639862708485,1,500
cs.SY,86,27.988372093023255,13.0,41.45571533322431,1,215
econ.EM,118,22.864406779661017,6.0,69.16979174333275,1,500
econ.GN,33,8.848484848484848,5.0,10.877503195015652,1,47
econ.TH,6,13.0,8.0,15.962455951387932,1,43
eess.AS,274,28.478102189781023,10.5,60.54261262646231,1,500
eess.IV,662,27.832326283987914,7.0,67.50707239485756,1,500
eess.SP,336,21.511904761904763,7.5,40.65537552828808,1,359
eess.SY,395,16.053164556962024,7.0,24.129614234532852,1,188
